trade_id,symbol,fold_id,train_years,test_year,entry_date,exit_date,direction,qty,entry_price,exit_price,gross_pnl,commission,reg_fees,slippage,borrow_cost,total_cost,net_pnl,trade_return,hold_days,exit_type,good_trade,lr_prob,lr_approve
LEU-1-1,LEU,1,[2021],2022,2022-02-24,2022-02-28,short,280,35.68215,42.78942516040835,-1990.037044914338,1.96,0.32422985560000006,10.986020522457169,2.3788099999999996,15.649060378057168,-2005.686105292395,-0.20074924469962022,2,stop_loss,0,0.4570275094665793,0
LMT-1-1,LMT,1,[2021],2022,2022-02-28,2022-03-01,long,24,414.016905,448.3402353724114,823.7599289378741,0.7,0.30311660504047294,10.348285684468937,0.0,11.35140228950941,812.4085266483646,0.08176080461500766,1,profit_target,1,0.9919966120599486,1
JPM-1-1,JPM,1,[2021],2022,2022-03-01,2022-03-29,short,71,139.96998,141.18,-85.91142000000102,0.7,0.28805874652400004,9.980824290000001,23.661591857142856,34.63047489366686,-120.54189489366787,-0.012129552119079026,20,timeout,0,0.7709993777382866,1
LEU-1-2,LEU,1,[2021],2022,2022-05-10,2022-06-07,short,454,21.998995,28.859808821699744,-3114.8094750516834,3.178,0.35301771569400003,11.544948467525844,22.59087272261905,37.666838905838894,-3152.4763139575225,-0.3156408021011511,19,stop_loss,0,1.558798571092687e-06,0
META-1-1,META,1,[2021],2022,2022-10-28,2022-11-14,short,100,99.520215,116.24728421302466,-1672.7069213024663,0.7000000000000001,0.2932661977,10.788374960651232,13.032409107142856,24.81405026549409,-1697.5209715679605,-0.17057046867995218,11,stop_loss,0,4.760402804320305e-87,0
RIOT-2-1,RIOT,2,"[2021, 2022]",2023,2023-03-20,2023-04-11,long,1156,8.654325,11.374857203742575,3144.935227526417,8.092,0.5574475109852344,11.57686731376321,0.0,20.226314824748442,3124.7089127016684,0.31233347391164995,15,profit_target,1,,0
MARA-2-1,MARA,2,"[2021, 2022]",2023,2023-04-12,2023-05-10,long,994,10.06503,10.22,154.0401800000005,6.958,0.447415304,10.08165991,0.0,17.487075214,136.55310478600052,0.013648977598675862,20,timeout,1,,0
NVDA-2-1,NVDA,2,"[2021, 2022]",2023,2023-05-02,2023-05-25,long,348,28.69434,32.175623983251,1211.486826171348,2.436,0.3690478566635635,10.591373733085675,0.0,13.396421589749238,1198.0904045815987,0.11998144996234937,17,profit_target,1,0.36393790624267774,0
GOOGL-2-1,GOOGL,2,"[2021, 2022]",2023,2023-05-12,2023-06-12,long,85,116.73834000000001,123.64,586.6410999999994,0.7,0.30627132,10.21607945,0.0,11.22235077,575.4187492299993,0.05798979447439757,20,timeout,1,0.34987771075428525,0
MARA-2-2,MARA,2,"[2021, 2022]",2023,2023-06-22,2023-07-06,long,816,12.256125,15.964552045536072,3026.076469157434,5.712,0.4976086702425767,11.514036234578718,0.0,17.723644904821295,3008.3528242526127,0.3008052620601076,9,profit_target,1,,0
MSFT-2-1,MSFT,2,"[2021, 2022]",2023,2023-07-19,2023-07-20,long,27,361.930875,345.9272029323792,-432.0991458257619,0.7,0.26413495852104385,9.556084052087119,0.0,10.520219010608162,-442.6193648363701,-0.04529403524569283,1,stop_loss,0,0.31351332939324417,0
RTX-2-1,RTX,2,"[2021, 2022]",2023,2023-09-07,2023-09-11,short,119,83.768095,78.30025526983103,650.6729278901081,0.833,0.296875611879,9.643066841054946,2.3734293583333335,13.14637181126728,637.5265560788408,0.06395473142213931,2,profit_target,1,0.10822358275954987,0
RTX-2-2,RTX,2,"[2021, 2022]",2023,2023-09-12,2023-10-10,short,133,74.66265,73.35,174.58245000000068,0.931,0.29813568210999997,9.842841224999999,23.643172499999995,34.71514940710999,139.86730059289067,0.01408513947796242,20,timeout,1,0.07600220752235506,0
AMD-3-1,AMD,3,"[2021, 2022, 2023]",2024,2024-03-04,2024-03-14,long,48,205.26257999999999,188.61824114405184,-798.9282650855112,0.7,0.2596601809826228,9.453139707457245,0.0,10.412799888439867,-809.341064973951,-0.08214489064181749,8,stop_loss,0,0.902253718263848,1
MSFT-3-1,MSFT,3,"[2021, 2022, 2023]",2024,2024-03-15,2024-04-15,long,23,419.49964500000004,413.64,-134.77183500000132,0.7,0.26829941599999996,9.5811059175,0.0,10.549405333500001,-145.32124033350132,-0.0150615498068151,20,timeout,0,0.7960897717840615,1
META-3-1,META,3,"[2021, 2022, 2023]",2024,2024-04-08,2024-04-15,long,18,529.5746549999999,501.62216033372255,-503.1449039929922,0.7,0.25399972903099477,9.280771338003502,0.0,10.234771067034497,-513.3796750600267,-0.053856605087889586,5,stop_loss,0,0.6630171790849816,1
AVGO-3-1,AVGO,3,"[2021, 2022, 2023]",2024,2024-04-22,2024-04-26,short,81,122.38877500000001,132.07542789604696,-784.6188845798031,0.7,0.28904104354500004,10.305800217289903,4.720709892857143,16.015551153692048,-800.6344357334951,-0.08076211033075735,4,stop_loss,0,0.30640738672462053,0
WFC-3-1,WFC,3,"[2021, 2022, 2023]",2024,2024-04-23,2024-05-21,long,163,61.200585000000004,61.46,42.28464499999952,1.141,0.30555784399999997,9.9968376775,0.0,11.443395521500001,30.84124947849952,0.003091639066848741,20,timeout,1,0.44512927898826316,0
LEU-3-1,LEU,3,"[2021, 2022, 2023]",2024,2024-07-15,2024-07-18,long,202,49.434704999999994,44.58146164573374,-980.3551575617835,1.414,0.2838836560177824,9.495632831219108,0.0,11.193516487236892,-991.5486740490204,-0.09929576402292427,3,stop_loss,0,0.7550450300652377,1
NOC-3-1,NOC,3,"[2021, 2022, 2023]",2024,2024-10-03,2024-10-22,long,18,540.119925,521.2230700098761,-340.14338982222966,0.7,0.26380802423294203,9.552086955088885,0.0,10.515894979321827,-350.6592848015515,-0.03606804799482999,13,stop_loss,0,0.5574533373139996,1
JPM-3-1,JPM,3,"[2021, 2022, 2023]",2024,2024-10-14,2024-11-06,long,44,223.3116,241.83372108416117,814.9733277030915,0.7,0.3031150076301459,10.233197063851545,0.0,11.236312071481692,803.7370156316098,0.08179937967962192,17,profit_target,1,0.42836458286798856,0
